ID,Quote,Positive,Negative,Neutral,Compound
1,"“Quiet the mind and the soul will speak.”,",0.0,0.0,1.0,0.0
2,"“What you think, you become. What you feel, you attract. What you imagine, you create.”,",0.152,0.0,0.848,0.3612
3,"“Happiness will never come to those who fail to appreciate what they already have.”,",0.148,0.192,0.659,-0.2023
4,"“You don’t have a Soul. You are a soul. You have a body.”,",0.0,0.0,1.0,0.0
5,"“If you want to fly, give up everything that weighs you down.”,",0.106,0.0,0.894,0.0772
6,"“All suffering is caused by ignorance. People inflict pain on others in the selfish pursuit of their own happiness or satisfaction.”,",0.114,0.38,0.506,-0.8126
7,"“Before you speak, let your words pass through three gates: Is it true? Is it necessary? Is it kind?”,",0.157,0.0,0.843,0.5171
8,"“Pain is inevitable. Suffering is optional.”,",0.0,0.383,0.617,-0.4767
9,"“There are only two mistakes one can make along the road to truth; not going all the way, and not starting.”,",0.097,0.105,0.798,-0.0516
10,"“Purity or impurity depends on oneself, no one can purify another.”,",0.0,0.18,0.82,-0.296
11,"“Every morning we are born again. What we do today is what matters most.”,",0.078,0.0,0.922,0.0258
12,"“In the end, only three things matters: how much you loved, how gently you lived, and how gracefully you let go of things not meant for you.”,",0.331,0.0,0.669,0.886
13,"“Don’t rush anything. When the time is right it’ll happen.”,",0.0,0.0,1.0,0.0
14,"“To understand everything is to forgive everything.”,",0.259,0.0,0.741,0.2732
15,"“When it hurts, observe. Life is trying to teach you something.”,",0.0,0.237,0.763,-0.4767
16,"“Change is never painful. Only resistance to change is painful.”,",0.211,0.0,0.789,0.3412
17,"“One moment can change a day, one day can change a life, and one life can change the world.”,",0.0,0.0,1.0,0.0
18,"“The root of all suffering is attachment.”,",0.0,0.341,0.659,-0.4767
19,"“The trouble is, you think you have time.”,",0.0,0.278,0.722,-0.4019
20,"“Your mind is a powerful thing. When you start to filter it with positive thoughts your life will start to change.”,",0.252,0.0,0.748,0.7506
21,"“If you truly loved yourself, you could never hurt another.”,",0.578,0.0,0.422,0.8617
22,"“Be where you are; otherwise you will miss your life.”,",0.0,0.151,0.849,-0.1531
23,"“All that we are is the result of what we have thought.”,",0.0,0.0,1.0,0.0
24,"“Three things cannot be long hidden: the sun, the moon, and the truth.”,",0.0,0.0,1.0,0.0
25,"“Happiness does not depend on what you have or who you are. It solely relies on what you think.”,",0.0,0.0,1.0,0.0
26,"“Suffering is not holding you, you are holding suffering.”,",0.0,0.0,1.0,0.0
27,"“Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.”,",0.801,0.0,0.199,0.9753
28,"“Virtue is persecuted more by the wicked than it is loved by the good.”,",0.187,0.286,0.527,-0.2648
29,"“Believe nothing, no matter where you read it, or who said it, no matter if I have said it, unless it agrees with your own reason and your own common sense.”,",0.089,0.034,0.877,0.1976
30,"“I never see what has been done; I only see what remains to be done.”,",0.0,0.0,1.0,0.0
31,"“If you knew what I know about the power of giving, you would not let a single meal pass without sharing it in some way.”,",0.087,0.084,0.829,0.0176
32,"“No one saves us but ourselves. No one can and no one may. We ourselves must walk the path.”,",0.0,0.248,0.752,-0.6808
33,"“When you realize how perfect everything is you will tilt your head back and laugh at the sky.”,",0.313,0.0,0.687,0.8074
34,"“Give, even if you only have a little.”,",0.0,0.0,1.0,0.0
35,"“You only lose what you cling to.”,",0.0,0.31,0.69,-0.4019
36,"“Thousands of candles can be lighted from a single candle, and the life of the candle will not be shortened. Happiness never decreases by being shared.”,",0.0,0.105,0.895,-0.4449
37,"“I never see what has been done; I only see what remains to be done.”,",0.0,0.0,1.0,0.0
38,"“I will not look at another’s bowl intent on finding a fault: a training to be observed.”,",0.0,0.144,0.856,-0.4019
39,"“Whatever words we utter should be chosen with care for people will hear them and be influenced by them for good or ill.”,",0.225,0.0,0.775,0.7269
40,"“What is evil? Killing is evil, lying is evil, slandering is evil, abuse is evil, gossip is evil, envy is evil, hatred is evil, to cling to false doctrine is evil; all these things are evil. And what is the root of evil? Desire is the root of evil, illusion is the root of evil.”,",0.024,0.654,0.322,-0.9974
41,"“Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.”,",0.0,0.155,0.845,-0.2755
42,"“It is a man’s own mind, not his enemy or foe, that lures him to evil ways.”,",0.118,0.302,0.58,-0.6652
43,"“What is evil? Killing is evil, lying is evil, slandering is evil, abuse is evil, gossip is evil, envy is evil, hatred is evil, to cling to false doctrine is evil; all these things are evil. And what is the root of evil? Desire is the root of evil, illusion is the root of evil.”,",0.024,0.654,0.322,-0.9974
44,"“All that we are is the result of what we have thought: it is founded on our thoughts and made up of our thoughts. If a man speak or act with an evil thought, suffering follows him as the wheel follows the hoof of the beast that draws the wagon…. If a man speak or act with a good thought, happiness follows him like a shadow that never leaves him.”,",0.11,0.092,0.798,0.128
45,"“It is better to conquer yourself than to win a thousand battles. Then the victory is yours. It cannot be taken from you.”,",0.229,0.089,0.683,0.6249
46,"“Believe nothing, no matter where you read it, or who said it, no matter if I have said it, unless it agrees with your own reason and your own common sense.”,",0.089,0.034,0.877,0.1976
47,"“Those who have failed to work toward the truth have missed the purpose of living.”,",0.116,0.278,0.606,-0.4939
48,"“Long is the night to him who is awake; long is a mile to him who is tired; long is life to the foolish who do not know the true law.”,",0.0,0.208,0.792,-0.7455
49,"“Ardently do today what must be done. Who knows? Tomorrow, death comes.”,",0.0,0.262,0.738,-0.5994
50,"“Meditate… do not delay, lest you later regret it.”,",0.167,0.238,0.595,-0.2115
51,"“One should strive to understand what underlies sufferings and diseases – and aim for health and well-being while gaining in the path.”,",0.118,0.0,0.882,0.4215
52,"“Delight in meditation and solitude. Compose yourself, be happy. You are a seeker.”,",0.236,0.0,0.764,0.5719
53,"“If a man’s thoughts are muddy, If he is reckless and full of deceit, How can he wear the yellow robe? Whoever is master of his own nature, Bright, clear and true, He may indeed wear the yellow robe.”,",0.173,0.119,0.708,0.3818
54,"“Like a fine flower, beautiful to look at but without scent, fine words are fruitless in a man who does not act in accordance with them.”,",0.134,0.066,0.8,0.2411
55,"“Meditate. Live purely. Be quiet. Do your work with mastery. Like the moon, come out from behind the clouds! Shine”,",0.128,0.0,0.872,0.4199
56,"“What you think, you become. What you feel, you attract. What you imagine, you create.”,",0.152,0.0,0.848,0.3612
57,"“For soon the body is discarded, Then what does it feel? A useless log of wood, it lies on the ground, Then what does it know? Your worst enemy cannot harm you As much as your own thoughts, unguarded. But once mastered, No one can help you as much, Not even your father or your mother.”,",0.082,0.201,0.717,-0.7171
58,"“If you are quiet enough, you will hear the flow of the universe. You will feel its rhythm. Go with this flow. Happiness lies ahead. Meditation is key.”,",0.111,0.086,0.802,0.2023
59,"“Though one should live a hundred years without wisdom and control, yet better, indeed, is a single day’s life of one who is wise and meditative.”,",0.189,0.087,0.724,0.498
60,"“Meditation brings wisdom; lack of meditation leaves ignorance. Know well what leads you forward and what hold you back, and choose the path that leads to wisdom.”,",0.165,0.144,0.691,0.1779
